aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment
-0.5382669169180314,-0.12422481269885588,-0.008375517236298702,-0.7156429231016236,1.539,0.361,0.2,0.1,0.5,0.46881294400327955,0.2989706282542563,0.11059795794933786,0.0632946559806651,0.7132238138124612,1.6549,2.933,0.757,0.944,0.782,1.201,0.16,0.395,0.117,0.081,0.594,0.84,0.605,0.883,0.919,0.406,26.0,58.0,18.0,12.0,87.0,0.2694,40.2,0.081,0.3781094527363184,0.38723088344469186,38.0,0.3466275424887024,5.0,5.0,3.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
0.12066112155020614,-0.5706023292663747,-0.37073014135948046,-0.01060877878926051,1.539,0.361,0.2,0.1,0.5,0.897116169007634,0.5891160140231435,0.05598307786051879,0.09326362477934669,0.019421114329357055,1.6549,2.933,0.757,0.944,0.782,1.201,0.306,0.778,0.059,0.119,0.016,0.694,0.22199999999999998,0.9410000000000001,0.881,0.984,49.0,114.0,9.0,18.0,2.0,0.2556,38.4,0.016,0.55,0.5543035993740218,38.0,0.26815059274133046,5.0,4.0,4.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.9408500720661859,0.163410178061828,-0.21348981007154788,-0.5208826677781773,1.539,0.361,0.2,0.1,0.5,0.20713389315697914,0.11200788425981179,0.43088499228669436,0.4515678727872056,0.4533053575093091,1.6549,2.933,0.757,0.944,0.782,1.201,0.071,0.148,0.456,0.577,0.377,0.929,0.852,0.544,0.42300000000000004,0.623,11.0,22.0,71.0,85.0,55.0,0.3258,48.8,0.071,0.32295081967213113,0.3241252302025783,38.0,0.45965818199443476,5.0,5.0,2.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.7234317720898042,0.23472006166164894,-0.8698440350601351,-0.6708571544550771,1.539,0.361,0.2,0.1,0.5,0.3484557881416272,0.06565645991992818,0.9038666628691596,0.21276256146257266,0.12415852760671232,1.6548999999999998,2.933,0.757,0.944,0.782,1.201,0.119,0.087,0.957,0.272,0.103,0.881,0.913,0.04300000000000004,0.728,0.897,19.0,13.0,150.0,40.0,15.0,0.3076,47.4,0.087,0.5046413502109705,0.4964889466840052,38.0,0.6247132558166664,4.0,4.0,4.0,4.0,ZAs_below_50 high_drought-1000-0.01-1
-0.7234317720898042,0.19454936591067407,0.1392918675175181,-0.6450565563137042,1.539,0.361,0.2,0.1,0.5,0.3484557881416272,0.09176741215806185,0.2218173739555514,0.22953295025446505,0.7633264754902945,1.6549,2.933,0.757,0.944,0.782,1.201,0.119,0.121,0.235,0.294,0.636,0.881,0.879,0.765,0.706,0.364,19.0,18.0,37.0,43.0,93.0,0.28099999999999997,42.0,0.119,0.3314285714285714,0.34362989323843424,38.0,0.4255823904579251,5.0,5.0,4.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.5274923492638641,-0.12422481269885588,-0.008375517236298702,-0.7669155497424274,1.539,0.361,0.2,0.1,0.5,0.47581641297848826,0.2989706282542563,0.11059795794933786,0.022963979688933895,0.7465510211289836,1.6549,2.933,0.757,0.944,0.782,1.201,0.162,0.395,0.117,0.029,0.622,0.838,0.605,0.883,0.971,0.378,26.0,58.0,18.0,4.0,91.0,0.265,39.4,0.029,0.43451776649746193,0.4419622641509433,38.0,0.3567520572353615,5.0,5.0,3.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.9850456539157315,-0.41102042235552694,-0.46322726142652476,-0.76647034670415,1.539,0.361,0.2,0.1,0.5,0.17840676495477445,0.4853877745310925,0.2198344453961486,0.320663009687528,0.4506080054304564,1.6549,2.933,0.757,0.944,0.782,1.201,0.061,0.641,0.233,0.41,0.375,0.9390000000000001,0.359,0.767,0.5900000000000001,0.625,10.0,94.0,36.0,61.0,55.0,0.344,51.2,0.061,0.3015625,0.31093023255813956,38.0,0.6564409211004834,5.0,5.0,2.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.6117627100296208,-0.18901518466254077,-0.7913615651753726,-0.5776255688558699,1.539,0.361,0.2,0.1,0.5,0.42104067848074644,0.3410843700306515,0.5774251473333407,0.2007782017629381,0.11457160239232327,1.6549,2.933,0.757,0.944,0.782,1.201,0.144,0.451,0.612,0.257,0.095,0.856,0.5489999999999999,0.388,0.743,0.905,23.0,66.0,96.0,38.0,14.0,0.31179999999999997,47.4,0.095,0.3493670886075949,0.3440667094291212,38.0,0.542441257180851,5.0,5.0,3.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.4850343873185896,-0.12422481269885588,-0.008375517236298702,-0.7099070025920995,1.539,0.361,0.2,0.1,0.5,0.5034140882429167,0.2989706282542563,0.11059795794933786,0.03242186007221858,0.7094954654812705,1.6549,2.933,0.757,0.944,0.782,1.201,0.172,0.395,0.117,0.041,0.591,0.8280000000000001,0.605,0.883,0.959,0.40900000000000003,28.0,58.0,18.0,6.0,87.0,0.2632,39.4,0.041,0.4101522842639594,0.4188449848024317,38.0,0.3318854299614609,5.0,5.0,3.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.30784416196369024,0.00944093485772668,-0.030149775544531687,-0.4759877942586396,1.539,0.361,0.2,0.1,0.5,0.6185877347236013,0.21208789234247766,0.21163396176146795,0.06929569900828295,0.5432947121641701,1.6549,2.933,0.757,0.944,0.782,1.201,0.211,0.28,0.224,0.089,0.452,0.789,0.72,0.776,0.911,0.548,34.0,41.0,35.0,13.0,66.0,0.2512,37.8,0.089,0.23915343915343915,0.25318471337579623,38.0,0.20585566665614705,5.0,5.0,4.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
