,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,min_deficit_sq,GINI_supplied_demand
8,0.0863737081071756,0.5150099749316133,-0.560527876832212,0.001271604334472043,3.0292673502696648,0.4577430162944514,2.207099603646486,0.6822596925477427,0.8009303372416553,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.03285,0.60454,2.33924,0.87213,0.66665,0.032850000000000046,0.39546000000000003,1.3392400000000002,0.12787000000000004,0.33335000000000004,166.0,89.0,365.0,129.0,98.0,0.60454,0.00928,0.27817333616177226
9,-0.032564574704819105,-0.1349764265587965,-0.42027431552041405,0.17181579264009228,2.9519574664418675,0.8802341772632177,1.6934436278250513,0.8704232987741923,0.7812414296956708,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.00649,1.16253,1.79483,1.11266,0.65026,0.006490000000000107,0.16253000000000006,0.7948299999999999,0.11265999999999998,0.34974000000000005,161.0,171.0,280.0,164.0,95.0,0.65026,0.00036,0.1707894677104196
10,0.22867457410657432,0.5064158229003828,0.5457543562748937,0.19302620355208489,3.121762913169274,0.4633292151147512,1.4824299533065677,0.7144046191395818,1.3953732992698256,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.06439,0.61192,1.57119,0.91322,1.16143,0.06438999999999995,0.38808,0.5711900000000001,0.08677999999999997,0.16142999999999996,171.0,90.0,245.0,135.0,170.0,0.61192,0.00461,0.16284772131563374
11,0.5169000525889804,0.6065681589161529,-0.2914582450193226,0.2951201414181732,3.3091094741828373,0.39823019670450066,2.091717162558059,0.5934191177389753,0.7848240488156276,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.12826,0.52595,2.21695,0.75857,0.65324,0.12826000000000004,0.47404999999999997,1.2169500000000002,0.24143000000000003,0.34675999999999996,181.0,77.0,346.0,112.0,96.0,0.52595,0.03567,0.2920342156022086
12,-0.688370360842729,0.30404081918356884,-0.04543576599711874,-0.23835890780229496,2.5256837054522268,0.5948729675306803,1.7351597803674468,1.030083504476282,1.2915000421733644,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.86115,0.78565,1.83905,1.31675,1.07497,0.13885000000000003,0.21435000000000004,0.8390500000000001,0.3167500000000001,0.07496999999999998,138.0,115.0,287.0,195.0,157.0,0.78565,0.00811,0.1743849924373508
13,-0.15696543060508894,0.33356119102507886,-0.6139852705258912,-0.2927082246295378,2.8710969101066928,0.5756847258336988,2.1239052000081307,0.6493432438841081,0.9572699201673702,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.97892,0.76031,2.25107,0.83005,0.79678,0.021079999999999988,0.23968999999999996,1.25107,0.16995000000000005,0.20321999999999996,157.0,112.0,352.0,123.0,117.0,0.76031,0.00382,0.22528657873326774
14,0.11360140377787875,0.42032184866060085,0.22916183392616807,0.09842011304981879,3.0469653524556217,0.5192902983706095,1.6322540095773812,0.7277082210267609,1.251082118569627,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,1.03888,0.68583,1.72998,0.93023,1.04133,0.038880000000000026,0.31416999999999995,0.7299800000000001,0.06977,0.04133000000000009,166.0,101.0,270.0,137.0,153.0,0.68583,0.00247,0.16213038470398528
15,-0.9658850256587816,0.3199283161743125,-0.4184796503426791,-0.552306589410178,2.3452991733217923,0.5845460944866969,1.9879651782360446,1.0064020435615924,1.2530875103938741,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.79965,0.77201,2.10699,1.28648,1.043,0.20035000000000003,0.22799000000000003,1.1069900000000001,0.28648000000000007,0.04299999999999993,128.0,113.0,329.0,190.0,153.0,0.77201,0.00267,0.2101678891768321
16,-0.688370360842729,0.05716231483703571,-0.4588376096792145,-0.23835890780229496,2.5256837054522268,0.7553439953559269,1.8433999509355625,1.030083504476282,1.0227888437800023,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.86115,0.99759,1.95377,1.31675,0.85131,0.13885000000000003,0.0024100000000000232,0.95377,0.3167500000000001,0.14869,138.0,147.0,305.0,195.0,125.0,0.85131,0.0,0.1779442427728461
17,-0.817905423912648,0.30404081918356884,-0.0948035682600954,-0.24105350839980733,2.4414859144567793,0.5948729675306803,1.7672488518383818,1.1125298050833463,1.2611624610908128,2.93292,0.75717,0.94351,0.78229,1.20143,5.589,1.3110000000000002,2.0,0.5,2.3,0.83244,0.78565,1.87306,1.42214,1.04972,0.16756000000000004,0.21435000000000004,0.87306,0.42213999999999996,0.049719999999999986,133.0,115.0,293.0,210.0,154.0,0.78565,0.00357,0.18544459928794352
