,calderon_lared_flow,chapala_flow,pozos_flow,toluquilla_flow,scenario,policy,model,drought_condition,probability
4825,4.492624895102781,1.0570778734130026,1.5206461087426797,0.2216666530276961,304520,None,AMGmodel,HIGH,1.0
4826,3.525669954590822,3.317484014808194,1.1091850775924506,0.1110483811130887,367695,None,AMGmodel,MID,0.99
4827,0.0276050927266136,8.544899523903206,3.3855877292228804,1.3978095598023943,315416,None,AMGmodel,NO,0.03
4828,0.2850206606538339,0.261855811688833,4.056453932773817,1.090865105251394,303119,None,AMGmodel,HIGH,1.0
4829,2.993760140207144,4.9961973169960014,3.479947168318604,0.0996602805874382,311761,None,AMGmodel,LOW,0.9
4830,2.2806341142985165,5.713142739324245,0.8821855620027952,0.9458218232859968,320946,None,AMGmodel,LOW,0.96
4831,0.5855114670111217,7.3657738796338785,2.211799753228508,1.3726282468908142,355093,None,AMGmodel,NO,0.35
4832,0.8452777699295682,0.6175007617701209,0.007461632899587,1.1220272328686876,307128,None,AMGmodel,HIGH,1.0
4833,0.8702285207122247,7.468926347201129,0.4116577119858806,0.1583723539821221,328581,None,AMGmodel,LOW,0.95
4834,2.7741621486186765,4.907361661548247,1.0661989576181885,0.0631814224849701,365003,None,AMGmodel,MID,0.78
4835,3.906227533386161,0.3296733796729357,2.4276365310212955,0.309163265454586,326256,None,AMGmodel,HIGH,1.0
4836,0.8044465185748018,2.870558668531336,0.3929497157808264,0.7508545094560499,331252,None,AMGmodel,MID,1.0
4837,0.5519679757114575,11.18138542155344,1.4997062478718204,0.4257433175702529,355516,None,AMGmodel,NO,0.01
4838,3.150565929775147,0.0161882850508529,2.365271153757548,0.4166399216112366,320138,None,AMGmodel,HIGH,1.0
4839,0.2470476422658626,6.948965143068929,0.0159797501536341,0.9560652127860508,311641,None,AMGmodel,LOW,0.98
4840,0.0388229200992596,9.103692246305162,1.551891263824856,1.1550106974678318,362819,None,AMGmodel,NO,0.11
4841,2.622934669050811,2.895699880523472,2.54603614202474,1.2377629742133998,301673,None,AMGmodel,MID,0.77
4842,0.1143677751165731,10.967696794015737,4.256508982375961,1.1426968180625992,348663,None,AMGmodel,NO,0.0
4843,4.234631219182484,1.5289753567996034,3.885618538092518,0.9623437276246452,338646,None,AMGmodel,MID,0.98
4844,0.1001382797564764,9.371429359631748,4.388029766995129,0.5365594661216392,397268,None,AMGmodel,NO,0.01
4845,3.008105409857446,2.19127275985642,0.8555908108650208,1.460511176026111,317257,None,AMGmodel,MID,0.96
4846,0.2114749470382514,5.4728411401617,4.440021415111936,0.2979899417969552,367660,None,AMGmodel,LOW,0.9
4847,3.809246023073433,2.6160593853374703,0.6056564026233813,0.9427250702221652,361526,None,AMGmodel,MID,0.98
4848,2.865074194968502,2.671037611262149,0.7396480033063707,1.1329603753432658,369490,None,AMGmodel,MID,0.97
4849,3.604072181802212,5.776147180444744,2.712025241011095,0.4579212294181499,335167,None,AMGmodel,LOW,0.64
4850,1.9889080999813464,8.610815552575627,0.1295938001863464,0.5757738475567943,337113,None,AMGmodel,NO,0.42
