policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment_name,scenario,seed,duration
21,-0.004126996,-0.117829647,-0.084099223,-0.011496863,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.772915132,0.28332827,0.868575225,0.371372907,1.068208466,3.3644,0.26353063,0.374194404,0.920577869,0.474722711,0.889117868,0.73646937,0.625805596,0.079422131,0.525277289,0.110882132,42.23107199,54.96911873,143.774366,70.14081921,130.2424854,0.584428697,88.27157226,0.26353063,0.252275968,0.250366617,0.054388182,4,3,1,A-priori,chapala_incident,1,1687
22,-0.163071132,-0.77085663,-0.368315255,-0.439537971,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.669601444,0.707795809,0.628848106,0.196459874,1.161694766,3.3644,0.228305131,0.934792814,0.666498,0.251132925,0.966930713,0.771694869,0.065207186,0.333502,0.748867075,0.033069287,36.58614719,137.3209664,104.092582,37.10517456,141.6409047,0.609531916,91.34915497,0.228305131,0.271770708,0.283615804,0.435445247,5,2,2,A-priori,chapala_incident,1,1687
23,-0.394381341,-0.364541056,-0.243738337,-0.106499754,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.519249809,0.443690687,0.811978233,0.563286351,1.026194921,3.3644,0.177041726,0.585986608,0.860592347,0.720043975,0.854148109,0.822958274,0.414013392,0.139407653,0.279956025,0.145851891,28.37113045,86.0813713,134.405924,106.3873141,125.119938,0.639562553,96.07313557,0.177041726,0.209097498,0.204547654,0.277290122,5,2,1,A-priori,chapala_incident,1,1687
24,-0.724901319,-0.642126247,-0.393509302,-0.205016506,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.304411823,0.62412106,0.728898986,0.714088448,0.992879683,3.3644,0.103791265,0.824282759,0.772539046,0.912812965,0.82641834,0.896208735,0.175717241,0.227460954,0.087187035,0.17358166,16.63266387,121.0870508,120.6539015,134.8691512,121.0579412,0.687968875,102.8601417,0.103791265,0.184254947,0.194418411,0.491388343,5,1,1,A-priori,chapala_incident,1,1687
25,-0.724901319,-0.868317491,-0.446617998,-0.508840848,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.304411823,0.771145369,0.61639533,0.516602626,1.155844852,3.3644,0.103791265,1.018459194,0.653299661,0.660368581,0.962061568,0.896208735,0.018459194,0.346700339,0.339631419,0.037938432,16.63266387,149.6115488,102.0312867,97.570207,140.9276476,0.679596054,101.3546708,0.103791265,0.24414481,0.251690427,0.637169414,4,2,1,A-priori,chapala_incident,1,1687
26,-0.653169788,-0.580855996,-0.407894103,-0.241532251,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.351037318,0.584295397,0.778074769,0.643727719,1.007264797,3.3644,0.119688542,0.771684618,0.824659043,0.822871466,0.838391716,0.880311458,0.228315382,0.175340957,0.177128534,0.161608284,19.18021994,113.3603895,128.7939185,121.5801926,122.8118619,0.675459077,101.1453165,0.119688542,0.180871544,0.176517669,0.470863035,5,1,1,A-priori,chapala_incident,1,1687
27,0.492676064,-0.837018291,-0.535654046,-0.019708305,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,1.095837121,0.750800889,0.694613241,0.04311348,0.780035269,3.3644,0.373633061,0.991590041,0.736200572,0.055111582,0.649258377,0.626366939,0.008409959,0.263799428,0.944888418,0.350741623,59.87510713,145.6644731,114.9786173,8.142798711,95.10665316,0.561158727,84.75352988,0.055111582,0.311630073,0.318701191,0.471264176,4,3,1,A-priori,chapala_incident,1,1687
28,0.090063923,-0.593965955,-0.646427329,-0.012525541,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.83413923,0.592816871,0.924599893,0.309480169,0.703363838,3.3644,0.284405399,0.782939011,0.979956802,0.39560577,0.585441303,0.715594601,0.217060989,0.020043198,0.60439423,0.414558697,45.57627661,115.0136586,153.0480719,58.45120133,85.75840513,0.605669657,91.56952271,0.284405399,0.237202108,0.234905088,0.335745687,4,3,1,A-priori,chapala_incident,1,1687
29,-0.602869953,-0.026882612,0.029324357,-0.039926591,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.38373221,0.224212698,0.85396547,0.742076505,1.160413116,3.3644,0.130836086,0.296119892,0.905093411,0.948589852,0.965863939,0.869163914,0.703880108,0.094906589,0.051410148,0.034136061,20.96662612,43.49998114,141.3560284,140.1552268,141.4846382,0.649300636,97.49250013,0.130836086,0.27808668,0.286157202,0.174750878,5,2,2,A-priori,chapala_incident,1,1687
30,-0.262104892,-0.484061815,-0.29469083,-0.005879614,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.6052295,0.52137918,0.76740886,0.542709751,0.92767271,3.3644,0.206357082,0.688590557,0.813354552,0.693741088,0.772143648,0.793642918,0.311409443,0.186645448,0.306258912,0.227856352,33.06894833,101.1538807,127.0284014,102.5010329,113.1075096,0.634837386,95.37195457,0.206357082,0.167657283,0.163512491,0.261684288,5,1,1,A-priori,chapala_incident,1,1687
31,0.455265533,-0.505586983,-0.392188756,-0.01304854,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,1.071520276,0.535370539,0.816791152,0.071759173,0.868958859,3.3644,0.365342068,0.707069082,0.865693422,0.091729118,0.723273475,0.634657932,0.292930918,0.134306578,0.908270882,0.276726525,58.54646652,103.868374,135.2026017,13.55308123,105.9487592,0.550621433,83.42385652,0.091729118,0.278770458,0.276903135,0.341522453,5,2,1,A-priori,chapala_incident,1,1687
32,-0.119961081,-0.543433224,-0.00034279,-0.120488824,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.697622977,0.559970595,0.537491218,0.375820287,1.193494922,3.3644,0.237859261,0.739558616,0.569671465,0.480407758,0.993399411,0.762140739,0.260441384,0.430328535,0.519592242,0.006600589,38.11720711,108.6410831,88.97037,70.98079134,145.5181736,0.604179302,90.44552502,0.237859261,0.223305442,0.23439812,0.19605648,4,3,1,A-priori,chapala_incident,1,1687
33,-0.047295494,-0.836513475,-0.866518882,-0.247983668,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.744855609,0.750472759,0.910003514,0.245716007,0.713352111,3.3644,0.253963546,0.991156677,0.964486521,0.314096604,0.593754992,0.746036454,0.008843323,0.035513479,0.685903396,0.406245008,40.69793631,145.6008119,150.6319483,46.40812964,86.97623629,0.623491668,94.06301249,0.253963546,0.271359122,0.272629296,0.49957788,3,3,2,A-priori,chapala_incident,1,1687
34,-0.57406361,-0.766710893,-0.732453798,-0.089012216,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.402456333,0.705101081,0.868232888,0.691446726,0.697162972,3.3644,0.137220202,0.93123386,0.920215037,0.883870251,0.580280044,0.862779798,0.06876614,0.079784963,0.116129749,0.419719956,21.98968771,136.7981563,143.7176994,130.5928324,85.0023578,0.690563879,103.6201467,0.137220202,0.227949356,0.223349337,0.540560129,4,2,1,A-priori,chapala_incident,1,1687
35,-0.344461841,-0.484061815,-0.290419891,-0.127951211,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.551697484,0.52137918,0.764632749,0.516895229,1.009795358,3.3644,0.18810498,0.688590557,0.810412233,0.660742613,0.840498016,0.81189502,0.311409443,0.189587767,0.339257387,0.159501984,30.14402897,101.1538807,126.5688747,97.62547066,123.1204033,0.63766968,95.72253166,0.18810498,0.182481278,0.182471363,0.311723689,5,2,1,A-priori,chapala_incident,1,1687
36,0.110209808,-0.653294738,-0.485387428,-0.008518711,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.847234055,0.63138058,0.781360249,0.298989782,0.805435334,3.3644,0.288870168,0.833870477,0.828141228,0.382196002,0.670399992,0.711129832,0.166129523,0.171858772,0.617803998,0.329600008,46.29176074,122.4954856,129.3377605,56.46989288,98.2035839,0.600695573,90.55969672,0.288870168,0.205051563,0.20455564,0.314352671,5,3,1,A-priori,chapala_incident,1,1687
37,0.136770588,-0.543854594,-0.34885579,-0.011885609,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.864498562,0.560244486,0.763750777,0.279536792,0.896369382,3.3644,0.294756618,0.739920346,0.809477456,0.357329416,0.746088483,0.705243382,0.260079654,0.190522544,0.642670584,0.253911517,47.23507082,108.6942212,126.4228827,52.7958266,109.2908172,0.589514464,88.88776371,0.294756618,0.193386001,0.192456787,0.260341645,5,2,1,A-priori,chapala_incident,1,1687
38,-0.390216868,-0.801251062,-0.485387428,-0.019081009,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.521956716,0.72755219,0.685188638,0.617401628,0.812300828,3.3644,0.177964664,0.960885259,0.726211707,0.789219056,0.676114451,0.822035336,0.039114741,0.273788293,0.210780944,0.323885549,28.51903231,141.1539438,113.4185724,116.608011,99.04066673,0.666079027,99.74804524,0.177964664,0.194760442,0.201651243,0.423984092,5,2,1,A-priori,chapala_incident,1,1687
39,-0.238305704,-0.766710893,-0.660611716,-0.090874445,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.620698972,0.705101081,0.821535535,0.471993639,0.745070774,3.3644,0.211631503,0.93123386,0.870721857,0.603345305,0.620155858,0.788368497,0.06876614,0.129278143,0.396654695,0.379844142,33.91418006,136.7981563,135.9879345,89.14495338,90.84356888,0.647417677,97.33775863,0.211631503,0.207615986,0.210878551,0.43912569,5,3,1,A-priori,chapala_incident,1,1687
