policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Pozos,delivered_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment_name,scenario,seed,duration
100,-3,-387,4,-256,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.989,0.516,0.047,0.082,0.558,2.191,0.337,0.681,0.05,0.104,0.464,0.663,0.319,0.95,0.896,0.536,54.043,100.055,7.756,15.414,68.019,0.327,49.058,0.05,0.387,0.397,0.162,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
101,-586,-471,-14,-145,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.61,0.57,0.004,0.533,0.474,2.191,0.208,0.753,0.004,0.681,0.395,0.792,0.247,0.996,0.319,0.605,33.337,110.648,0.655,100.613,57.795,0.408,60.61,0.004,0.379,0.386,0.304,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
102,-833,-759,-539,-250,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.45,0.758,0.158,0.625,0.201,2.191,0.153,1.0,0.167,0.799,0.167,0.847,0.0,0.833,0.201,0.833,24.565,146.967,26.155,118.046,24.509,0.457,68.049,0.153,0.398,0.407,0.595,4.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
103,-943,332,-531,-122,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.378,0.048,0.862,0.78,0.123,2.191,0.129,0.064,0.914,0.997,0.102,0.871,0.936,0.086,0.003,0.898,20.658,9.384,142.679,147.264,14.999,0.441,66.997,0.064,0.482,0.485,0.482,3.0,3.0,3.0,3.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
104,-837,-564,-390,-189,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.447,0.631,0.188,0.667,0.258,2.191,0.152,0.833,0.199,0.853,0.215,0.848,0.167,0.801,0.147,0.785,24.423,122.376,31.104,126.026,31.484,0.451,67.083,0.152,0.351,0.361,0.495,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
105,-773,-68,-95,-246,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.489,0.308,0.319,0.589,0.487,2.191,0.167,0.407,0.338,0.752,0.405,0.833,0.593,0.662,0.248,0.595,26.696,59.827,52.731,111.171,59.38,0.414,61.961,0.167,0.227,0.24,0.296,5.0,4.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
106,349,-117,-74,-17,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.218,0.34,0.273,0.008,0.352,2.191,0.415,0.449,0.289,0.01,0.293,0.585,0.551,0.711,0.99,0.707,66.544,66.006,45.199,1.542,42.896,0.291,44.437,0.01,0.276,0.275,0.139,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
107,-593,107,-470,-42,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.606,0.195,0.676,0.604,0.111,2.191,0.206,0.257,0.717,0.772,0.092,0.794,0.743,0.283,0.228,0.908,33.089,37.758,111.907,114.117,13.493,0.409,62.073,0.092,0.361,0.366,0.303,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
108,-999,-13,-518,-755,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.342,0.273,0.629,0.405,0.543,2.191,0.117,0.36,0.667,0.517,0.452,0.883,0.64,0.333,0.483,0.548,18.67,52.891,104.161,76.429,66.196,0.423,63.669,0.117,0.244,0.238,0.571,5.0,4.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
109,-660,-730,-503,-351,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.562,0.739,0.153,0.447,0.29,2.191,0.192,0.976,0.163,0.571,0.241,0.808,0.024,0.837,0.429,0.759,30.709,143.31,25.402,84.408,35.367,0.429,63.839,0.163,0.363,0.374,0.561,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
110,-91,-320,-183,-37,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.932,0.472,0.212,0.281,0.294,2.191,0.318,0.624,0.225,0.359,0.245,0.682,0.376,0.775,0.641,0.755,50.917,91.606,35.085,53.103,35.842,0.354,53.311,0.225,0.196,0.206,0.158,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
111,-864,-12,-530,-9,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.429,0.272,0.638,0.802,0.05,2.191,0.146,0.359,0.676,1.025,0.042,0.854,0.641,0.324,0.025,0.958,23.464,52.765,105.559,151.438,6.123,0.45,67.87,0.042,0.439,0.444,0.354,4.0,3.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
112,-555,65,11,-144,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.63,0.222,0.336,0.513,0.49,2.191,0.215,0.293,0.356,0.656,0.408,0.785,0.707,0.644,0.344,0.592,34.438,43.054,55.636,96.93,59.697,0.386,57.951,0.215,0.196,0.207,0.194,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
113,-984,-819,-565,-634,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.351,0.797,0.136,0.474,0.434,2.191,0.12,1.052,0.144,0.605,0.361,0.88,0.052,0.856,0.395,0.639,19.202,154.534,22.497,89.442,52.882,0.456,67.711,0.12,0.399,0.408,0.75,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
114,-374,-145,-26,-175,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.748,0.358,0.224,0.375,0.486,2.191,0.255,0.473,0.237,0.48,0.404,0.745,0.527,0.763,0.52,0.596,40.867,69.537,37.022,70.904,59.222,0.37,55.51,0.237,0.139,0.152,0.18,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
115,-889,131,-21,-282,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.413,0.179,0.4,0.641,0.559,2.191,0.141,0.236,0.424,0.819,0.465,0.859,0.764,0.576,0.181,0.535,22.576,34.731,66.18,120.992,68.098,0.417,62.516,0.141,0.295,0.304,0.331,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
116,-922,-337,-477,-752,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.392,0.483,0.392,0.357,0.568,2.191,0.134,0.638,0.415,0.456,0.472,0.866,0.362,0.585,0.544,0.528,21.404,93.75,64.889,67.344,69.208,0.423,63.319,0.134,0.188,0.202,0.622,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
117,-479,-59,-950,-594,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.68,0.303,0.88,0.171,0.157,2.191,0.232,0.4,0.933,0.219,0.131,0.768,0.6,0.067,0.781,0.869,37.137,58.692,145.692,32.356,19.2,0.383,58.615,0.131,0.381,0.373,0.521,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
118,-754,-204,-950,-399,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.501,0.397,0.786,0.477,0.031,2.191,0.171,0.524,0.833,0.61,0.026,0.829,0.476,0.167,0.39,0.974,27.371,76.978,130.091,90.055,3.745,0.433,65.648,0.026,0.384,0.38,0.577,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
119,-122,-345,-799,-320,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.912,0.488,0.596,0.117,0.078,2.191,0.311,0.645,0.632,0.15,0.065,0.689,0.355,0.368,0.85,0.935,49.816,94.759,98.673,22.167,9.452,0.36,54.973,0.065,0.365,0.365,0.397,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
120,279,-11,43,-19,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.172,0.271,0.266,0.052,0.429,2.191,0.4,0.358,0.282,0.067,0.357,0.6,0.642,0.718,0.933,0.643,64.058,52.639,44.016,9.89,52.327,0.293,44.586,0.067,0.21,0.203,0.088,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
121,-821,-392,2,-226,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.457,0.519,0.045,0.633,0.537,2.191,0.156,0.685,0.048,0.809,0.447,0.844,0.315,0.952,0.191,0.553,24.991,100.686,7.434,119.519,65.483,0.429,63.622,0.048,0.377,0.383,0.36,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
122,-961,-198,8,-136,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.366,0.393,0.167,0.782,0.482,2.191,0.125,0.519,0.177,1.0,0.402,0.875,0.481,0.823,0.0,0.598,20.019,76.221,27.661,147.755,58.826,0.445,66.096,0.125,0.368,0.377,0.326,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
123,-265,-680,-371,-199,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.819,0.706,0.1,0.289,0.277,2.191,0.279,0.933,0.106,0.369,0.231,0.721,0.067,0.894,0.631,0.769,44.738,137.005,16.579,54.576,33.782,0.384,57.336,0.106,0.365,0.374,0.379,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
124,-611,376,823,-177,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.594,0.02,0.01,0.528,1.039,2.191,0.202,0.026,0.011,0.675,0.865,0.798,0.974,0.989,0.325,0.135,32.449,3.835,1.731,99.754,126.665,0.356,52.887,0.011,0.523,0.53,0.497,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
125,-536,-571,-373,-255,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.643,0.635,0.172,0.429,0.312,2.191,0.219,0.839,0.183,0.548,0.26,0.781,0.161,0.817,0.452,0.74,35.113,123.259,28.522,80.971,38.062,0.41,61.185,0.183,0.308,0.321,0.434,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
126,-968,155,-13,-721,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.362,0.163,0.41,0.407,0.849,2.191,0.123,0.216,0.435,0.52,0.707,0.877,0.784,0.565,0.48,0.293,19.771,31.705,67.901,76.797,103.524,0.4,59.939,0.123,0.284,0.294,0.464,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
127,-115,-181,252,0,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.916,0.382,0.02,0.321,0.553,2.191,0.312,0.504,0.021,0.41,0.46,0.688,0.496,0.979,0.59,0.54,50.065,74.077,3.237,60.592,67.385,0.342,51.071,0.021,0.249,0.261,0.137,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
128,-981,163,625,-521,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.353,0.158,0.001,0.545,1.134,2.191,0.12,0.209,0.001,0.697,0.944,0.88,0.791,0.999,0.303,0.056,19.309,30.696,0.117,102.946,138.236,0.394,58.261,0.001,0.494,0.5,0.572,5.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
129,-574,167,-30,-610,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.618,0.156,0.429,0.223,0.766,2.191,0.211,0.206,0.455,0.285,0.637,0.789,0.794,0.545,0.715,0.363,33.764,30.191,71.022,42.054,93.379,0.359,54.082,0.206,0.242,0.247,0.345,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
130,-730,167,37,-946,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.517,0.156,0.386,0.106,1.028,2.191,0.176,0.206,0.409,0.135,0.855,0.824,0.794,0.591,0.865,0.145,28.223,30.191,63.813,19.957,125.318,0.356,53.5,0.135,0.368,0.376,0.47,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
131,-986,-805,-927,-728,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.35,0.787,0.38,0.414,0.26,2.191,0.119,1.04,0.403,0.529,0.216,0.881,0.04,0.597,0.471,0.784,19.131,152.768,62.952,78.147,31.642,0.461,68.928,0.119,0.364,0.373,0.861,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
132,-946,-319,-358,-745,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.376,0.472,0.326,0.377,0.64,2.191,0.128,0.623,0.346,0.482,0.533,0.872,0.377,0.654,0.518,0.467,20.552,91.48,54.022,71.15,78.084,0.422,63.057,0.128,0.21,0.223,0.592,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
133,-104,-69,11,-24,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.923,0.309,0.249,0.298,0.412,2.191,0.315,0.408,0.264,0.381,0.343,0.685,0.592,0.736,0.619,0.657,50.456,59.953,41.218,56.295,50.187,0.342,51.622,0.264,0.068,0.083,0.052,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
134,-960,-664,-245,-991,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.367,0.696,0.029,0.226,0.874,2.191,0.125,0.919,0.03,0.289,0.727,0.875,0.081,0.97,0.711,0.273,20.055,134.987,4.744,42.668,106.535,0.418,61.798,0.03,0.449,0.455,0.715,5.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
135,-880,-62,44,-505,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.419,0.304,0.232,0.49,0.746,2.191,0.143,0.402,0.246,0.626,0.621,0.857,0.598,0.754,0.374,0.379,22.896,59.07,38.421,92.511,90.923,0.408,60.764,0.143,0.252,0.263,0.373,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
136,-554,180,132,-793,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.631,0.147,0.332,0.091,0.99,2.191,0.215,0.194,0.352,0.116,0.824,0.785,0.806,0.648,0.884,0.176,34.474,28.552,54.99,17.133,120.721,0.34,51.174,0.116,0.365,0.37,0.415,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
137,-819,-89,-99,-209,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.459,0.322,0.308,0.643,0.46,2.191,0.156,0.425,0.326,0.821,0.383,0.844,0.575,0.674,0.179,0.617,25.062,62.475,50.902,121.361,56.131,0.422,63.186,0.156,0.258,0.271,0.304,5.0,4.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
138,-470,351,498,-185,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.686,0.036,0.205,0.431,0.833,2.191,0.234,0.048,0.218,0.551,0.693,0.766,0.952,0.782,0.449,0.307,37.457,6.988,34.009,81.462,101.542,0.349,52.292,0.048,0.362,0.373,0.376,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
139,-697,-538,-572,-466,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.538,0.614,0.323,0.396,0.32,2.191,0.183,0.811,0.342,0.506,0.266,0.817,0.189,0.658,0.494,0.734,29.395,119.098,53.484,74.833,39.013,0.422,63.164,0.183,0.273,0.283,0.568,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
140,-904,-579,-606,-769,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.403,0.641,0.319,0.334,0.495,2.191,0.138,0.846,0.338,0.427,0.412,0.862,0.154,0.662,0.573,0.588,22.044,124.268,52.731,63.047,60.331,0.432,64.484,0.138,0.266,0.279,0.714,5.0,4.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
141,-964,352,630,-265,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.364,0.035,0.12,0.7,0.971,2.191,0.124,0.047,0.128,0.895,0.808,0.876,0.953,0.872,0.105,0.192,19.913,6.862,19.915,132.287,118.344,0.4,59.464,0.047,0.47,0.476,0.553,5.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
142,-403,-16,-33,-176,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.729,0.275,0.312,0.394,0.482,2.191,0.249,0.363,0.331,0.503,0.401,0.751,0.637,0.669,0.497,0.599,39.837,53.269,51.655,74.342,58.746,0.369,55.57,0.249,0.11,0.126,0.157,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
143,-998,-4,-918,-383,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.342,0.267,0.895,0.646,0.041,2.191,0.117,0.352,0.949,0.826,0.034,0.883,0.648,0.051,0.174,0.966,18.705,51.756,148.166,121.974,5.013,0.456,69.123,0.034,0.451,0.446,0.576,4.0,3.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
144,-619,-118,-986,-970,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.589,0.341,0.865,0.018,0.378,2.191,0.201,0.45,0.917,0.023,0.315,0.799,0.55,0.083,0.977,0.685,32.165,66.132,143.217,3.383,46.145,0.381,58.209,0.023,0.431,0.428,0.673,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
145,-316,-745,-545,-449,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.786,0.748,0.171,0.16,0.326,2.191,0.268,0.988,0.181,0.204,0.272,0.732,0.012,0.819,0.796,0.728,42.926,145.202,28.307,30.146,39.805,0.383,57.277,0.181,0.344,0.352,0.514,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
146,-617,-453,-79,-984,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.59,0.559,0.058,0.008,0.977,2.191,0.201,0.738,0.061,0.01,0.813,0.799,0.262,0.939,0.99,0.187,32.236,108.378,9.586,1.419,119.136,0.365,54.151,0.01,0.494,0.501,0.533,5.0,3.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
147,-486,144,25,-704,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.675,0.171,0.378,0.104,0.863,2.191,0.23,0.225,0.401,0.133,0.718,0.77,0.775,0.599,0.867,0.282,36.889,33.092,62.629,19.711,105.188,0.342,51.502,0.133,0.311,0.315,0.34,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
148,-880,230,494,-728,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.419,0.115,0.129,0.345,1.183,2.191,0.143,0.151,0.137,0.441,0.985,0.857,0.849,0.863,0.559,0.015,22.896,22.247,21.421,65.134,144.259,0.371,55.191,0.137,0.418,0.429,0.583,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
149,-957,119,-435,-169,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.369,0.187,0.661,0.758,0.216,2.191,0.126,0.247,0.701,0.969,0.18,0.874,0.753,0.299,0.031,0.82,20.161,36.245,109.433,143.213,26.332,0.444,67.077,0.126,0.393,0.397,0.42,4.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
150,-22,-64,-803,-376,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.977,0.306,0.781,0.016,0.111,2.191,0.333,0.404,0.828,0.02,0.093,0.667,0.596,0.172,0.98,0.907,53.368,59.322,129.337,3.015,13.573,0.336,51.723,0.02,0.462,0.459,0.316,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
151,-857,-350,-507,-31,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.434,0.492,0.403,0.783,0.079,2.191,0.148,0.649,0.427,1.001,0.066,0.852,0.351,0.573,0.001,0.934,23.713,95.389,66.718,147.878,9.689,0.458,68.677,0.066,0.405,0.414,0.436,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
152,-508,-394,-958,-384,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.661,0.52,0.668,0.327,0.016,2.191,0.225,0.687,0.708,0.418,0.013,0.775,0.313,0.292,0.582,0.987,36.108,100.938,110.509,61.697,1.923,0.41,62.235,0.013,0.363,0.361,0.561,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
153,-710,-330,-510,-719,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.53,0.479,0.418,0.24,0.525,2.191,0.181,0.632,0.443,0.307,0.437,0.819,0.368,0.557,0.693,0.563,28.933,92.867,69.193,45.369,63.977,0.4,60.068,0.181,0.202,0.208,0.567,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
154,-953,-450,4,-780,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.372,0.557,0.006,0.359,0.898,2.191,0.127,0.735,0.006,0.458,0.748,0.873,0.265,0.994,0.542,0.252,20.303,108.0,0.978,67.712,109.547,0.415,61.308,0.006,0.398,0.403,0.547,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
155,-892,-106,-30,-191,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.411,0.333,0.252,0.702,0.494,2.191,0.14,0.44,0.267,0.897,0.411,0.86,0.56,0.733,0.103,0.589,22.47,64.619,41.648,132.532,60.173,0.431,64.288,0.14,0.303,0.313,0.305,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
156,-984,-556,-989,-448,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.351,0.626,0.582,0.594,0.037,2.191,0.12,0.826,0.617,0.76,0.031,0.88,0.174,0.383,0.24,0.969,19.202,121.367,96.414,112.276,4.538,0.471,70.759,0.031,0.369,0.379,0.744,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
157,-890,-720,-499,-672,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.413,0.732,0.157,0.388,0.501,2.191,0.141,0.967,0.167,0.496,0.417,0.859,0.033,0.833,0.504,0.583,22.541,142.049,26.047,73.237,61.124,0.437,65.0,0.141,0.352,0.362,0.695,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
158,-745,-86,-963,-498,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.507,0.32,0.871,0.407,0.087,2.191,0.173,0.423,0.923,0.52,0.072,0.827,0.577,0.077,0.48,0.928,27.69,62.097,144.185,76.797,10.561,0.422,64.266,0.072,0.394,0.388,0.573,4.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
159,-983,-16,-446,-568,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.352,0.275,0.581,0.516,0.468,2.191,0.12,0.363,0.615,0.659,0.39,0.88,0.637,0.385,0.341,0.61,19.238,53.269,96.091,97.421,57.082,0.429,64.62,0.12,0.247,0.248,0.503,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
160,-401,-331,-10,-17,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.73,0.479,0.092,0.496,0.393,2.191,0.249,0.633,0.098,0.634,0.327,0.751,0.367,0.902,0.366,0.673,39.908,92.993,15.288,93.616,47.968,0.388,57.955,0.098,0.29,0.3,0.19,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
161,308,152,593,-18,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,1.191,0.165,0.014,0.034,0.786,2.191,0.406,0.218,0.015,0.044,0.654,0.594,0.782,0.985,0.956,0.346,65.088,32.083,2.377,6.453,95.836,0.268,40.367,0.015,0.487,0.491,0.268,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
162,-344,269,-430,-575,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.767,0.089,0.755,0.096,0.483,2.191,0.262,0.118,0.801,0.123,0.402,0.738,0.882,0.199,0.877,0.598,41.932,17.328,125.034,18.115,58.905,0.341,52.263,0.118,0.392,0.386,0.404,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
