policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Pozos,delivered_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment_name,scenario,seed,duration
10,-874,280,-151,-25,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.423,0.082,0.581,0.798,0.307,2.191,0.144,0.109,0.616,1.02,0.256,0.856,0.891,0.384,0.02,0.744,23.109,15.941,96.199,150.701,37.428,0.429,64.676,0.109,0.424,0.428,0.332,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
11,-764,238,337,-901,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.494,0.109,0.237,0.157,1.194,2.191,0.169,0.145,0.251,0.201,0.993,0.831,0.855,0.749,0.799,0.007,27.016,21.238,39.174,29.655,145.527,0.352,52.522,0.145,0.397,0.405,0.56,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
12,-490,-14,-887,-690,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.673,0.273,0.868,0.116,0.261,2.191,0.229,0.361,0.92,0.148,0.217,0.771,0.639,0.08,0.852,0.783,36.747,53.017,143.755,21.921,31.801,0.375,57.448,0.148,0.369,0.36,0.52,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
13,-985,-145,-671,-479,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.351,0.358,0.643,0.575,0.264,2.191,0.12,0.473,0.681,0.735,0.22,0.88,0.527,0.319,0.265,0.78,19.167,69.537,106.42,108.593,32.197,0.446,67.183,0.12,0.301,0.304,0.57,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
14,-890,110,336,-901,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.413,0.193,0.154,0.239,1.193,2.191,0.141,0.254,0.163,0.305,0.993,0.859,0.746,0.837,0.695,0.007,22.541,37.38,25.509,45.124,145.448,0.371,55.2,0.141,0.385,0.398,0.559,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
15,-562,231,17,-208,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.626,0.114,0.44,0.476,0.535,2.191,0.213,0.151,0.466,0.609,0.445,0.787,0.849,0.534,0.391,0.555,34.19,22.121,72.851,89.933,65.245,0.377,56.868,0.151,0.245,0.248,0.254,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
16,-618,-300,-760,-695,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.589,0.459,0.6,0.196,0.347,2.191,0.201,0.606,0.636,0.251,0.289,0.799,0.394,0.364,0.749,0.711,32.201,89.084,99.319,37.021,42.262,0.396,59.977,0.201,0.248,0.247,0.593,5.0,5.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
17,-935,387,-41,-946,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.383,0.013,0.579,0.239,0.977,2.191,0.131,0.017,0.614,0.305,0.813,0.869,0.983,0.386,0.695,0.187,20.943,2.448,95.876,45.124,119.136,0.376,56.705,0.017,0.435,0.442,0.577,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
18,-826,334,-135,-223,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.454,0.047,0.606,0.638,0.446,2.191,0.155,0.062,0.642,0.816,0.371,0.845,0.938,0.358,0.184,0.629,24.814,9.131,100.287,120.501,54.387,0.409,61.824,0.062,0.386,0.39,0.38,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
19,-903,-194,264,-720,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.404,0.39,0.003,0.365,1.028,2.191,0.138,0.515,0.004,0.467,0.856,0.862,0.485,0.996,0.533,0.144,22.079,75.716,0.548,68.94,125.397,0.396,58.536,0.004,0.415,0.421,0.52,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
20,-978,-823,-661,-592,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.355,0.799,0.196,0.497,0.344,2.191,0.121,1.055,0.207,0.635,0.286,0.879,0.055,0.793,0.365,0.714,19.415,155.038,32.395,93.861,41.945,0.461,68.531,0.121,0.388,0.398,0.764,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
21,-520,-425,-552,-466,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.653,0.54,0.384,0.281,0.333,2.191,0.223,0.714,0.407,0.359,0.277,0.777,0.286,0.593,0.641,0.723,35.681,104.847,63.49,53.103,40.598,0.396,59.544,0.223,0.217,0.225,0.491,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
22,-934,-300,-479,-585,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.384,0.459,0.417,0.473,0.458,2.191,0.131,0.606,0.442,0.605,0.381,0.869,0.394,0.558,0.395,0.619,20.978,89.084,69.085,89.319,55.814,0.433,64.856,0.131,0.21,0.217,0.574,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
23,-591,-804,-387,-725,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.607,0.787,0.03,0.159,0.609,2.191,0.207,1.039,0.032,0.203,0.507,0.793,0.039,0.968,0.797,0.493,33.16,152.642,4.959,30.023,74.2,0.398,58.997,0.032,0.46,0.467,0.627,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
24,-300,-774,-751,-471,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.796,0.767,0.286,0.135,0.207,2.191,0.271,1.013,0.303,0.172,0.172,0.729,0.013,0.697,0.828,0.828,43.495,148.859,47.351,25.481,25.223,0.387,58.082,0.172,0.371,0.375,0.574,4.0,4.0,4.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
25,-842,-63,-184,-705,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.444,0.305,0.38,0.335,0.728,2.191,0.151,0.403,0.402,0.428,0.606,0.849,0.597,0.598,0.572,0.394,24.245,59.196,62.844,63.293,88.704,0.398,59.657,0.151,0.178,0.188,0.448,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
26,-343,54,414,-521,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.768,0.229,0.067,0.13,0.997,2.191,0.262,0.303,0.071,0.167,0.83,0.738,0.697,0.929,0.833,0.17,41.968,44.442,11.092,24.622,121.514,0.326,48.727,0.071,0.395,0.405,0.333,5.0,4.0,4.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
27,-550,277,-481,-514,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.634,0.084,0.794,0.269,0.41,2.191,0.216,0.111,0.841,0.344,0.342,0.784,0.889,0.159,0.656,0.658,34.616,16.32,131.382,50.893,50.029,0.371,56.648,0.111,0.348,0.343,0.456,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
28,-518,372,524,-384,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.654,0.022,0.202,0.333,0.979,2.191,0.223,0.03,0.214,0.426,0.815,0.777,0.97,0.786,0.574,0.185,35.752,4.339,33.471,62.924,119.374,0.342,51.172,0.03,0.406,0.417,0.45,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
29,-229,-774,-492,-14,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.842,0.767,0.118,0.386,0.078,2.191,0.287,1.013,0.125,0.493,0.065,0.713,0.013,0.875,0.507,0.935,46.016,148.859,19.484,72.868,9.531,0.397,59.352,0.065,0.448,0.457,0.377,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
30,-934,343,-426,-600,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.384,0.041,0.801,0.463,0.502,2.191,0.131,0.054,0.849,0.592,0.418,0.869,0.946,0.151,0.408,0.582,20.978,7.997,132.565,87.477,61.203,0.409,62.044,0.054,0.407,0.401,0.576,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
31,-840,-296,-191,-3,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.445,0.457,0.233,0.79,0.267,2.191,0.152,0.603,0.247,1.01,0.222,0.848,0.397,0.753,0.01,0.778,24.316,88.579,38.528,149.228,32.514,0.447,66.633,0.152,0.367,0.376,0.332,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
32,-850,-85,-545,-699,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.439,0.319,0.6,0.344,0.489,2.191,0.15,0.422,0.636,0.44,0.407,0.85,0.578,0.364,0.56,0.593,23.961,61.971,99.319,65.011,59.618,0.411,61.976,0.15,0.202,0.196,0.545,5.0,5.0,1.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
33,-534,-184,-48,-776,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.644,0.384,0.213,0.089,0.862,2.191,0.22,0.507,0.225,0.113,0.718,0.78,0.493,0.775,0.887,0.282,35.184,74.455,35.193,16.765,105.109,0.357,53.341,0.113,0.324,0.336,0.386,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
34,-960,-623,-786,-999,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.367,0.669,0.407,0.221,0.527,2.191,0.125,0.884,0.431,0.282,0.439,0.875,0.116,0.569,0.718,0.561,20.055,129.817,67.363,41.686,64.294,0.432,64.643,0.125,0.303,0.31,0.842,5.0,4.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
35,-858,-752,-369,-918,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.433,0.753,0.052,0.207,0.746,2.191,0.148,0.994,0.055,0.265,0.621,0.852,0.006,0.945,0.735,0.379,23.677,146.085,8.617,39.108,90.923,0.417,61.682,0.055,0.444,0.452,0.724,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
36,-79,-390,-253,-2,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.94,0.518,0.212,0.296,0.226,2.191,0.32,0.684,0.225,0.379,0.188,0.68,0.316,0.775,0.621,0.812,51.344,100.434,35.085,55.927,27.521,0.359,54.062,0.188,0.247,0.255,0.181,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
