aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment
-0.30432185547248647,0.4356236548866237,-0.16234235986139187,-0.18844002418810835,5.751,1.349,0.0,0.4,2.2,2.861492753942884,0.5323151243236945,0.6746779095862102,0.7629007303348457,1.132363481812366,5.96375,2.933,0.757,0.944,0.782,1.201,0.976,0.703,0.715,0.976,0.943,0.02400000000000002,0.29700000000000004,0.28500000000000003,0.02400000000000002,0.05700000000000005,156.0,103.0,112.0,144.0,138.0,0.8625999999999999,130.6,0.703,0.08453292496171516,0.07484349640621378,138.0,0.2726819736021526,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.31810486626906465,0.43784713095154104,-0.31407282365094713,-0.11848995565934561,5.751,1.349,0.0,0.4,2.2,2.8525337969251083,0.5308698648814983,0.7747479704916173,0.8173272318963174,0.9882711358054591,5.96375,2.933,0.757,0.944,0.782,1.201,0.973,0.701,0.821,1.045,0.823,0.027000000000000024,0.29900000000000004,0.17900000000000005,0.04499999999999993,0.17700000000000005,156.0,103.0,128.0,154.0,120.0,0.8725999999999999,132.2,0.701,0.08472012102874432,0.07701123080449233,138.0,0.2971286941327246,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.6890582905286289,0.14120726315544507,-0.8753567383929579,-0.6197600540088218,5.751,1.349,0.0,0.4,2.2,2.6114140711563913,0.7236857789489607,0.9467666010064619,0.7326213937378746,0.9492621551503116,5.963749999999999,2.933,0.757,0.944,0.782,1.201,0.89,0.956,1.003,0.937,0.79,0.10999999999999999,0.04400000000000004,0.0029999999999998916,0.06299999999999994,0.20999999999999996,143.0,140.0,157.0,138.0,116.0,0.9152000000000001,138.8,0.79,0.05014409221902017,0.043006993006992976,138.0,0.5813455865214634,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.5525718545024616,0.8580643421389968,-0.24392074232322525,-0.4292184744009767,5.751,1.349,0.0,0.4,2.2,2.7001302545734,0.257728677609652,1.0022903049004444,0.7677572370659651,1.2358435258505387,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.921,0.34,1.062,0.982,1.029,0.07899999999999996,0.6599999999999999,0.062000000000000055,0.018000000000000016,0.028999999999999915,148.0,50.0,166.0,145.0,151.0,0.8668000000000001,132.0,0.34,0.14424242424242426,0.14323950161513613,138.0,0.5209438533414151,1.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.6882298677217157,0.14120726315544507,-0.8712735295868801,-0.5484893858842661,5.751,1.349,0.0,0.4,2.2,2.611952545980885,0.7236857789489607,0.9441125152825114,0.7784088531943423,0.9055903065933011,5.96375,2.933,0.757,0.944,0.782,1.201,0.891,0.956,1.0,0.995,0.754,0.10899999999999999,0.04400000000000004,0.0,0.0050000000000000044,0.246,143.0,140.0,156.0,147.0,110.0,0.9192,139.2,0.754,0.056896551724137934,0.05187119234116623,138.0,0.5623000115870768,2.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.5525718545024616,0.44061479569666595,-0.2777316228657308,-0.417210386027704,5.751,1.349,0.0,0.4,2.2,2.7001302545734,0.5290708827971671,0.7529251720655579,0.7755624945085925,1.2060611960552827,5.963749999999999,2.933,0.757,0.944,0.782,1.201,0.921,0.699,0.798,0.992,1.004,0.07899999999999996,0.30100000000000005,0.20199999999999996,0.008000000000000007,0.0040000000000000036,148.0,103.0,125.0,146.0,147.0,0.8827999999999999,133.8,0.699,0.06696562032884903,0.07285908473040327,138.0,0.42203216477314054,2.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.6842061124956789,0.33524859495785875,-0.5222071938834179,-0.59677771610077,5.751,1.349,0.0,0.4,2.2,2.614567986877809,0.5975589132773919,0.8433462627468298,0.7444059976566908,1.163870839441279,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.891,0.789,0.893,0.952,0.969,0.10899999999999999,0.21099999999999997,0.10699999999999998,0.04800000000000004,0.031000000000000028,143.0,116.0,140.0,141.0,142.0,0.8988000000000002,136.4,0.789,0.03284457478005865,0.03747218513573652,138.0,0.5346099043594315,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.331504958076446,0.016592849590926217,-0.5534353250282689,-0.38754753521727436,5.751,1.349,0.0,0.4,2.2,2.8438237372503106,0.804685147765898,0.6565183135024769,0.6511498648584616,1.0075729366228536,5.96375,2.933,0.757,0.944,0.782,1.201,0.97,1.063,0.695,0.833,0.839,0.030000000000000027,0.06299999999999994,0.30500000000000005,0.16700000000000004,0.16100000000000003,155.0,156.0,109.0,123.0,123.0,0.8800000000000001,133.2,0.695,0.07567567567567568,0.07936363636363637,138.0,0.32227016697822886,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.2919671296456632,0.07576536526549926,-0.7043505150804232,-0.32554493027623677,5.751,1.349,0.0,0.4,2.2,2.869523325730319,0.7662230125774255,0.7930753222248498,0.6657519695901272,0.869176369877279,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.978,1.012,0.84,0.851,0.724,0.02200000000000002,0.01200000000000001,0.16000000000000003,0.14900000000000002,0.276,157.0,149.0,131.0,126.0,106.0,0.881,133.8,0.724,0.07473841554559044,0.06483541430192964,138.0,0.3494069850669556,3.0,0.0,0.0,supplied_demand_deficit-supplied_demand_GINI
-0.31810486626906465,0.07490918385535286,-0.31407282365094713,-0.5246957711879506,5.751,1.349,0.0,0.4,2.2,2.8525337969251083,0.7667795304940207,0.538838304879095,0.5532934518027242,1.2523049158990525,5.963750000000001,2.933,0.757,0.944,0.782,1.201,0.973,1.013,0.571,0.708,1.043,0.027000000000000024,0.0129999999999999,0.42900000000000005,0.29200000000000004,0.04299999999999993,156.0,149.0,89.0,104.0,153.0,0.8615999999999999,130.2,0.571,0.11244239631336406,0.1159702878365831,138.0,0.3079456612408288,2.0,1.0,0.0,supplied_demand_deficit-supplied_demand_GINI
